region,offence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australian Capital Territory,Abduction/harassment,0,3,4,0,0,0,3,0,9,3,0,10,5,0
Australian Capital Territory,Acts intended to cause injury,153,139,133,113,79,65,38,71,69,94,79,75,80,85
Australian Capital Territory,Dangerous/negligent acts,0,0,4,0,3,0,0,0,0,0,0,0,0,0
Australian Capital Territory,Fraud/deception,15,4,11,31,14,10,10,4,0,7,5,3,6,5
Australian Capital Territory,Homicide and related offences,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Australian Capital Territory,Illicit drug offences,25,33,33,59,40,40,60,70,35,46,18,36,12,21
Australian Capital Territory,Miscellaneous offences,0,0,0,4,3,0,0,3,0,0,0,0,0,3
Australian Capital Territory,Offences against justice,13,13,16,11,9,9,3,6,4,0,4,3,3,3
Australian Capital Territory,Property damage and environmental pollution,66,75,65,60,38,43,40,48,39,21,15,36,23,19
Australian Capital Territory,Public order offences,161,104,219,156,92,91,64,57,49,51,50,41,41,9
Australian Capital Territory,Robbery/extortion,23,30,16,21,8,17,3,8,23,9,23,25,12,10
Australian Capital Territory,Sexual assault and related offences,6,3,0,9,4,9,9,17,4,6,3,5,0,3
Australian Capital Territory,Theft,377,269,229,210,169,120,72,84,59,50,54,48,43,28
Australian Capital Territory,Unlawful entry with intent,80,87,91,41,23,17,25,21,3,17,20,16,8,8
Australian Capital Territory,Weapons/explosives,45,33,43,33,27,17,21,23,21,20,18,23,30,13
Australian Capital Territory,All offenders,3483,3284,3428,3319,3029,3069,2742,2864,2762,2725,2477,2406,2222,2328
Australian Capital Territory,Youth offenders,983,801,870,754,507,449,355,412,319,321,301,316,260,223
New South Wales,Abduction/harassment,131,168,137,129,117,109,138,143,150,101,113,139,125,142
New South Wales,Acts intended to cause injury,3865,4049,4114,3611,3248,3153,2991,2951,2927,3205,3287,3321,3604,3638
New South Wales,Dangerous/negligent acts,52,62,43,18,32,94,102,131,147,40,11,3,13,19
New South Wales,Fraud/deception,280,238,187,164,266,446,554,481,373,426,457,417,335,234
New South Wales,Homicide and related offences,29,24,31,17,10,10,11,5,12,4,14,16,12,22
New South Wales,Illicit drug offences,710,782,886,847,889,972,993,1005,1045,1049,1021,1104,860,697
New South Wales,Miscellaneous offences,672,1120,1506,1547,2690,181,150,160,178,212,205,252,450,2685
New South Wales,Offences against justice,532,417,431,294,355,497,353,378,232,215,216,204,169,144
New South Wales,Property damage and environmental pollution,1954,1923,1666,1336,1242,986,887,867,786,758,715,718,746,725
New South Wales,Public order offences,2904,3164,2830,2182,1972,1956,1935,2278,2156,1988,1746,1809,1851,1586
New South Wales,Robbery/extortion,588,639,616,446,378,340,333,260,236,302,319,367,345,285
New South Wales,Sexual assault and related offences,150,139,112,155,173,225,238,285,280,279,275,261,293,262
New South Wales,Theft,5801,7048,8077,8678,6800,2586,2150,2237,2249,2291,1952,1833,1454,1224
New South Wales,Unlawful entry with intent,1335,1360,1268,1048,887,745,685,704,592,661,482,529,449,480
New South Wales,Weapons/explosives,148,167,152,104,123,106,93,127,103,159,133,183,186,163
New South Wales,All offenders,107706,111910,116502,109381,116055,120526,124492,128397,128777,126274,122001,116924,110499,134571
New South Wales,Youth offenders,19151,21291,22052,20574,19185,18450,19764,20051,20054,19986,17972,17710,18128,18012
Northern Territory,Abduction/harassment,4,11,10,4,3,9,8,13,7,7,8,14,6,3
Northern Territory,Acts intended to cause injury,277,244,166,180,248,186,193,242,192,179,209,199,202,192
Northern Territory,Dangerous/negligent acts,11,12,8,0,5,12,8,19,13,11,13,7,6,7
Northern Territory,Fraud/deception,3,12,3,4,4,4,4,4,0,5,3,4,7,3
Northern Territory,Homicide and related offences,3,0,0,0,0,0,3,0,0,0,0,0,3,0
Northern Territory,Illicit drug offences,17,20,22,30,15,12,17,10,17,12,18,17,9,6
Northern Territory,Miscellaneous offences,0,0,3,0,0,0,0,0,3,0,3,0,0,0
Northern Territory,Offences against justice,26,29,29,29,22,13,13,15,8,8,14,17,7,6
Northern Territory,Property damage and environmental pollution,62,70,38,45,58,35,35,39,28,36,22,22,19,30
Northern Territory,Public order offences,218,218,172,144,99,73,50,56,56,74,67,64,40,31
Northern Territory,Robbery/extortion,28,34,23,18,11,34,16,24,39,27,18,38,62,95
Northern Territory,Sexual assault and related offences,34,31,22,10,23,20,29,19,15,14,17,20,21,17
Northern Territory,Theft,242,307,242,177,120,75,74,96,58,66,67,72,50,51
Northern Territory,Unlawful entry with intent,392,399,270,282,289,248,288,303,275,242,272,175,192,257
Northern Territory,Weapons/explosives,14,30,31,26,30,30,21,29,22,41,31,31,30,44
Northern Territory,All offenders,9757,10583,9518,10207,11023,12114,11774,12053,11851,12502,10871,9505,9181,8690
Northern Territory,Youth offenders,1435,1549,1061,979,952,759,776,876,746,719,765,693,663,754
Queensland,Abduction/harassment,3,7,6,3,8,4,5,5,3,7,13,7,3,0
Queensland,Acts intended to cause injury,2221,2284,2098,1965,1735,1637,1632,1625,1792,1996,1999,1962,2220,2221
Queensland,Dangerous/negligent acts,137,179,147,163,150,114,123,113,125,103,119,67,114,109
Queensland,Fraud/deception,156,166,145,133,110,168,209,158,210,219,215,179,166,141
Queensland,Homicide and related offences,21,8,0,0,13,4,3,3,8,4,6,13,9,22
Queensland,Illicit drug offences,1324,1545,1584,1751,2108,2301,2668,2542,2430,2286,2230,2147,1736,1465
