Crime type,State,"Offender rate per 100,000 people",Level of education,Number of enrollment,Enrollment percentage
Homicide and related offences,New South Wales,2.9,Postgraduate Degree,485845,5.96
Homicide and related offences,Victoria,2.2,Postgraduate Degree,399612,6.28
Homicide and related offences,Queensland,3,Postgraduate Degree,196928,3.88
Homicide and related offences,South Australia,0.9,Postgraduate Degree,76780,4.22
Homicide and related offences,West Australia,3.5,Postgraduate Degree,109913,5.54
Homicide and related offences,Tasmania,3.5,Postgraduate Degree,27212,4.76
Homicide and related offences,North Territory,9.3,Postgraduate Degree,10260,4.13
Homicide and related offences,Australian Capital Territory,0.7,Postgraduate Degree,52777,11.58
Acts intended to cause injury,New South Wales,529.5,Graduate Diploma and Graduate Certificate,135609,1.66
Acts intended to cause injury,Victoria,297.5,Graduate Diploma and Graduate Certificate,153446,2.41
Acts intended to cause injury,Queensland,302.1,Graduate Diploma and Graduate Certificate,92233,1.82
Acts intended to cause injury,South Australia,341.4,Graduate Diploma and Graduate Certificate,33029,1.81
Acts intended to cause injury,West Australia,338.4,Graduate Diploma and Graduate Certificate,50138,2.53
Acts intended to cause injury,Tasmania,416.8,Graduate Diploma and Graduate Certificate,10301,1.80
Acts intended to cause injury,North Territory,"1,689.20",Graduate Diploma and Graduate Certificate,4302,1.73
Acts intended to cause injury,Australian Capital Territory,222.2,Graduate Diploma and Graduate Certificate,16818,3.69
Sexual assault and related offences,New South Wales,39.3,Bachelor Degree,1217048,14.93
Sexual assault and related offences,Victoria,28.5,Bachelor Degree,1004394,15.79
Sexual assault and related offences,Queensland,57.6,Bachelor Degree,629307,12.41
Sexual assault and related offences,South Australia,27.9,Bachelor Degree,225405,12.38
Sexual assault and related offences,West Australia,55.8,Bachelor Degree,353606,17.81
Sexual assault and related offences,Tasmania,29.9,Bachelor Degree,64334,11.26
Sexual assault and related offences,North Territory,74.2,Bachelor Degree,24866,10.02
Sexual assault and related offences,Australian Capital Territory,28.8,Bachelor Degree,89954,19.73
Dangerous/negligent acts,New South Wales,1,Advanced Diploma and Diploma,616322,7.56
Dangerous/negligent acts,Victoria,14.4,Advanced Diploma and Diploma,521291,8.20
