Country,Crime Index,Safety Index
Afghanistan,79.39,20.61
Albania,44.5,55.5
Algeria,53.88,46.12
Angola,67.45,32.55
Antarctica,0,0
Argentina,66.27,36.67
Armenia,21.66,78.34
Australia,46.27,55.61
Austria,27.12,72.62
Azerbaijan,30.36,69.64
Bahrain,21.06,78.94
Bangladesh,63.66,36.34
Belarus,58.72,41.28
Belgium,43.4,47.59
Bosnia and Herz.,39.99,60.23
Bolivia,69.74,27.5
Botswana,55.67,44.33
Brazil,67.51,29.51
Bulgaria,39.63,62.87
Cambodia,53.56,46.44
Cameroon,65,35.74
Canada,44.01,72.73
Central African Rep.,87.5,72.73
Chad,72.73,28.52
Chile,59.8,40.2
China,33.53,66.59
Colombia,62.68,30.5
Costa Rica,55.38,44.62
Croatia,26.14,76.57
Cuba,31.2,68.8
Congo,76.97,33.74
Côte d'Ivoire,63.54,39.83
Cyprus,30.96,67.95
Czechia,25.09,75.9
Denmark,24.27,76.46
Dem. Rep. Congo,76.97,34.42
Dominican Rep.,68.37,31.63
Ecuador,57.62,58.64
Egypt,44.96,59.76
El Salvador,69.79,30.21
Eritrea,44.64,60.41
Estonia,22.15,79.3
Ethiopia,47.15,52.85
Finland,27.76,76.08
France,53.91,51.08
Gabon,58.82,42.28
Georgia,25.16,74.84
Germany,36.86,61.91
Ghana,46.88,53.12
Greece,55.61,43.58
Greenland,30.61,69.97
Guatemala,62.65,37.35
Guinea,78.57,22.52
Guyana,75.39,25.42
Honduras,80.87,19.13
Hong Kong,21.62,79.38
Hungary,35.06,76.98
Iceland,23.02,76.98
India,43.35,53.32
Indonesia,50.83,51.15
Iran,55.72,44.28
Iraq,59.13,40.87
Ireland,42.07,59.72
Israel,29.91,73.38
Italy,47.11,53.38
Jamaica,71.44,28.56
Japan,28.07,76.21
Jordan,38.82,61.18
Kazakhstan,48.65,53.52
Kenya,59.03,40.97
Kyrgyzstan,55.29,45.62
Kuwait,30.55,69.45
Laos,27.88,73.22
Latvia,37.91,62.09
Lebanon,46.67,53.33
Lesotho,68.79,32.11
Libya,62.29,37.71
Lithuania,33.52,63.54
Luxembourg,30.15,69.85
Madagascar,76.79,24.12
Mali,51.05,49.95
Malaysia,52.39,54.55
Maldives,63.89,36.11
Mauritania,53.12,47.82
Mexico,52.17,46.25
Moldova,44.74,55.26
Mongolia,55.34,44.66
Montenegro,47.2,52.8
Morocco,45.78,44.61
Mozambique,69.49,31.52
Myanmar,53.38,47.72
Namibia,68.64,31.36
Nepal,37.25,62.75
Netherlands,27.24,77.74
New Zealand,41.27,58.85
Nicaragua,56.32,44.23
Niger,69.44,31.55
Nigeria,66.22,33.78
North Korea,64.62,32.25
North Macedonia,46.76,53.24
Norway,29.61,76.68
Oman,20.54,79.46
Pakistan,41.99,51.43
Panama,47.16,52.84
Papua New Guinea,80.71,19.29
Paraguay,49.29,50.71
Peru,70.7,29.3
Philippines,46.04,58.62
Poland,33.4,68.59
Portugal,39.17,64.65
Puerto Rico,68.55,31.45
Qatar,13.96,86.04
Romania,33,67
Russia,43.39,54.87
Rwanda,24.16,75.84
Saudi Arabia,28.52,71.05
Serbia,39.71,61.99
Senegal,47.6,53.4
Singapore,27.22,72.78
Slovakia,29.89,71.11
Slovenia,21.48,70.11
Somalia,61.64,49.43
South Africa,77.34,23.56
South Korea,25.38,74.62
S. Sudan,85.34,15.25
Sudan,64.04,36.63
Suriname,78.4,22.6
Spain,32.85,71.95
Sri Lanka,41.19,54.81
Sweden,44.88,52.13
Switzerland,21.16,79.88
Syria,67.94,32.06
Taiwan,15.05,84.95
Tanzania,59.9,40.1
Thailand,37.11,64.09
Trinidad And Tobago,76.21,23.79
Tunisia,47.14,52.38
Turkey,32.01,69.96
Turkmenistan,44.92,62.52
Uganda,58.32,42.63
Ukraine,47.74,51.35
United Arab Emirates,14.83,84.23
United Kingdom,46.55,34.55
United States of America,51.31,49.1
Uruguay,54.81,45.19
Uzbekistan,33.86,66.14
Venezuela,83.98,16.02
Vietnam,45.87,55.15
Yemen,68.24,42.52
Zambia,42.88,60.65
Zimbabwe,60.35,39.65
